class_weight,max_depth,min_samples_leaf,n_estimators,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
,,1,200,0.7242,0.6308,0.5856,0.5999
,,1,400,0.7242,0.6308,0.5856,0.5999
,20.0,1,400,0.7242,0.6308,0.5856,0.5999
,30.0,1,200,0.7242,0.6308,0.5856,0.5999
,30.0,1,400,0.7242,0.6308,0.5856,0.5999
,10.0,1,400,0.727,0.6235,0.5772,0.5896
,,1,700,0.7242,0.622,0.5742,0.5874
,20.0,1,700,0.7242,0.622,0.5742,0.5874
,30.0,1,700,0.7242,0.622,0.5742,0.5874
balanced,,4,200,0.7103,0.5933,0.5843,0.5863
balanced,20.0,4,200,0.7103,0.5933,0.5843,0.5863
balanced,30.0,4,200,0.7103,0.5933,0.5843,0.5863
balanced_subsample,,2,400,0.7103,0.5985,0.5778,0.5846
balanced_subsample,20.0,2,400,0.7103,0.5985,0.5778,0.5846
balanced_subsample,30.0,2,400,0.7103,0.5985,0.5778,0.5846
balanced_subsample,,2,200,0.7187,0.5992,0.578,0.5837
balanced_subsample,20.0,2,200,0.7187,0.5992,0.578,0.5837
balanced_subsample,30.0,2,200,0.7187,0.5992,0.578,0.5837
balanced_subsample,,2,700,0.7103,0.5969,0.5758,0.5826
balanced_subsample,20.0,2,700,0.7103,0.5969,0.5758,0.5826
balanced_subsample,30.0,2,700,0.7103,0.5969,0.5758,0.5826
,10.0,1,200,0.7187,0.6145,0.5679,0.5805
,20.0,2,200,0.7242,0.6142,0.5711,0.5795
,,2,700,0.727,0.6138,0.5681,0.578
,20.0,2,700,0.727,0.6138,0.5681,0.578
,30.0,2,700,0.727,0.6138,0.5681,0.578
balanced,20.0,1,700,0.7187,0.5943,0.5682,0.5768
,,2,200,0.7242,0.612,0.5672,0.5766
,30.0,2,200,0.7242,0.612,0.5672,0.5766
,,2,400,0.7242,0.6119,0.567,0.5765
,30.0,2,400,0.7242,0.6119,0.567,0.5765
balanced,,4,400,0.7019,0.5833,0.5742,0.5759
balanced,,4,700,0.7019,0.5833,0.5742,0.5759
balanced,20.0,4,400,0.7019,0.5833,0.5742,0.5759
balanced,20.0,4,700,0.7019,0.5833,0.5742,0.5759
balanced,30.0,4,400,0.7019,0.5833,0.5742,0.5759
balanced,30.0,4,700,0.7019,0.5833,0.5742,0.5759
,10.0,2,700,0.7242,0.6111,0.5652,0.5752
balanced_subsample,10.0,4,200,0.6936,0.5873,0.5728,0.5744
,10.0,1,700,0.7214,0.6088,0.5636,0.5731
balanced,20.0,1,200,0.7242,0.5916,0.5651,0.5727
,,4,700,0.7187,0.6224,0.5604,0.5719
,20.0,4,700,0.7187,0.6224,0.5604,0.5719
,30.0,4,700,0.7187,0.6224,0.5604,0.5719
,20.0,2,400,0.7187,0.6055,0.5604,0.57
,,4,200,0.7214,0.6058,0.5596,0.5696
,20.0,4,200,0.7214,0.6058,0.5596,0.5696
,30.0,4,200,0.7214,0.6058,0.5596,0.5696
,20.0,1,200,0.7187,0.6057,0.5584,0.5691
balanced,10.0,4,200,0.688,0.5817,0.5664,0.5688
balanced,10.0,4,700,0.688,0.5817,0.5664,0.5688
,10.0,4,700,0.7159,0.6192,0.557,0.5685
balanced,,1,200,0.7187,0.5864,0.5607,0.568
balanced,30.0,1,200,0.7187,0.5864,0.5607,0.568
balanced_subsample,,4,200,0.6964,0.5704,0.5665,0.5666
balanced_subsample,20.0,4,200,0.6964,0.5704,0.5665,0.5666
balanced_subsample,30.0,4,200,0.6964,0.5704,0.5665,0.5666
balanced_subsample,,4,400,0.6964,0.5706,0.5661,0.5658
balanced_subsample,20.0,4,400,0.6964,0.5706,0.5661,0.5658
balanced_subsample,30.0,4,400,0.6964,0.5706,0.5661,0.5658
balanced,10.0,4,400,0.6852,0.5787,0.563,0.5654
balanced,,1,400,0.7187,0.5835,0.5584,0.5653
balanced,30.0,1,400,0.7187,0.5835,0.5584,0.5653
,,4,400,0.7159,0.6011,0.5554,0.5652
,10.0,2,400,0.7159,0.6011,0.5554,0.5652
,10.0,4,400,0.7159,0.6011,0.5554,0.5652
,20.0,4,400,0.7159,0.6011,0.5554,0.5652
,30.0,4,400,0.7159,0.6011,0.5554,0.5652
balanced,,2,200,0.7019,0.5808,0.559,0.5649
balanced,30.0,2,200,0.7019,0.5808,0.559,0.5649
balanced_subsample,20.0,1,400,0.7187,0.5827,0.5567,0.5641
balanced_subsample,20.0,1,700,0.7187,0.5817,0.5549,0.5627
balanced,,1,700,0.7159,0.5809,0.5557,0.5627
balanced,30.0,1,700,0.7159,0.5809,0.5557,0.5627
balanced_subsample,10.0,2,200,0.6936,0.5782,0.5575,0.5625
balanced_subsample,,1,400,0.7187,0.5813,0.5545,0.5623
balanced_subsample,30.0,1,400,0.7187,0.5813,0.5545,0.5623
balanced_subsample,10.0,4,700,0.6852,0.5703,0.5614,0.5622
balanced_subsample,,1,700,0.7159,0.5799,0.5538,0.5613
balanced_subsample,30.0,1,700,0.7159,0.5799,0.5538,0.5613
balanced,20.0,1,400,0.7159,0.5795,0.5534,0.5608
balanced_subsample,10.0,4,400,0.6852,0.5692,0.5596,0.5607
balanced,20.0,2,200,0.6964,0.5762,0.5545,0.5602
,10.0,4,200,0.7159,0.596,0.5474,0.559
balanced,20.0,2,400,0.6936,0.5729,0.5515,0.5573
balanced,10.0,1,400,0.7019,0.5736,0.5522,0.5568
balanced_subsample,10.0,1,700,0.6964,0.572,0.5516,0.5552
balanced_subsample,10.0,1,400,0.6992,0.571,0.5504,0.5542
balanced,,2,400,0.6908,0.5698,0.5482,0.5542
balanced,30.0,2,400,0.6908,0.5698,0.5482,0.5542
,10.0,2,200,0.7075,0.5795,0.5461,0.5541
balanced,10.0,1,200,0.6992,0.5683,0.5485,0.5523
balanced,10.0,1,700,0.6964,0.5684,0.5477,0.5517
balanced_subsample,,1,200,0.7075,0.5698,0.544,0.5513
balanced_subsample,20.0,1,200,0.7075,0.5698,0.544,0.5513
balanced_subsample,30.0,1,200,0.7075,0.5698,0.544,0.5513
balanced,10.0,2,200,0.6825,0.5662,0.5467,0.5513
balanced,10.0,2,400,0.6852,0.5664,0.5459,0.5509
balanced_subsample,10.0,2,400,0.6825,0.5664,0.5449,0.5506
balanced_subsample,,4,700,0.6908,0.5564,0.5504,0.5504
balanced_subsample,20.0,4,700,0.6908,0.5564,0.5504,0.5504
balanced_subsample,30.0,4,700,0.6908,0.5564,0.5504,0.5504
balanced_subsample,10.0,2,700,0.6825,0.5651,0.5448,0.5496
balanced_subsample,10.0,1,200,0.6936,0.5654,0.5443,0.5484
balanced,,2,700,0.6964,0.5643,0.5435,0.5479
balanced,30.0,2,700,0.6964,0.5643,0.5435,0.5479
balanced,20.0,2,700,0.6908,0.5597,0.539,0.5432
balanced,10.0,2,700,0.6852,0.5588,0.5407,0.5431
